вероятность;id
1,00;215349
0,12;215350
0,97;215351
0,90;215352
1,00;215353
0,26;215354
0,00;215355
0,83;215356
0,00;215358
1,00;215360
0,12;215361
0,97;215362
0,90;215363
1,00;215364
0,90;215365
0,12;215366
1,00;215367
1,00;215368
0,90;215369
0,90;215370
0,90;215371
0,62;215372
1,00;215373
0,90;215374
1,00;215375
0,90;215376
0,62;215377
0,90;215378
0,97;215379
0,12;215380
0,90;215381
0,62;215382
0,90;215383
0,97;215384
0,90;215385
0,90;215386
0,62;215387
0,97;215388
1,00;215389
0,97;215390
1,00;215391
1,00;215392
0,62;215393
0,90;215394
1,00;215395
0,90;215396
0,62;215397
1,00;215398
1,00;215399
0,62;215400
1,00;215401
1,00;215402
1,00;215403
0,97;215404
0,90;215405
0,90;215406
0,97;215407
0,97;215408
0,97;215409
0,90;215410
0,90;215411
1,00;215412
0,26;215413
1,00;215414
0,90;215415
0,62;215416
1,00;215417
0,90;215418
1,00;215419
0,90;215420
1,00;215421
0,70;215422
0,90;215423
0,97;215424
0,62;215425
1,00;215426
1,00;215427
0,62;215428
1,00;215429
0,90;215430
0,12;215431
1,00;215432
0,62;215433
0,90;215434
1,00;215435
0,62;215436
1,00;215437
1,00;215438
1,00;215439
0,90;215440
1,00;215441
0,90;215442
1,00;215443
0,90;215444
0,62;215445
0,97;215446
0,90;215447
1,00;215448
0,97;215449
0,00;215450
0,12;215451
0,90;215452
0,26;215453
1,00;215454
1,00;215455
0,90;215456
1,00;215457
0,97;215458
1,00;215459
0,90;215460
0,90;215461
0,90;215462
1,00;215463
1,00;215464
0,90;215465
1,00;215466
0,97;215467
0,90;215468
1,00;215469
0,90;215470
1,00;215471
0,90;215472
1,00;215473
0,26;215474
0,62;215475
1,00;215476
0,12;215477
1,00;215478
0,90;215479
0,97;215480
0,90;215481
1,00;215482
0,90;215483
1,00;215484
1,00;215485
0,97;215486
0,62;215487
0,62;215488
0,90;215489
0,62;215490
0,90;215491
1,00;215492
0,62;215493
0,00;215494
0,90;215495
1,00;215496
0,00;215497
0,90;215498
0,90;215499
0,97;215500
1,00;215501
0,90;215502
0,90;215503
0,90;215504
0,62;215505
0,90;215506
0,90;215507
0,90;215508
1,00;215509
1,00;215510
0,90;215511
0,90;215512
1,00;215513
1,00;215514
1,00;215515
0,62;215516
1,00;215517
1,00;215518
1,00;215519
1,00;215520
0,97;215521
1,00;215522
0,97;215523
0,90;215524
0,90;215525
1,00;215526
1,00;215527
0,62;215528
0,90;215529
0,90;215530
1,00;215531
0,62;215532
0,62;215533
1,00;215534
0,90;215535
1,00;215536
1,00;215537
1,00;215538
0,90;215539
1,00;215540
0,62;215541
0,90;215542
1,00;215543
0,97;215544
0,62;215545
0,62;215546
1,00;215547
0,97;215548
0,70;215549
1,00;215550
1,00;215551
0,90;215552
0,90;215553
1,00;215554
0,62;215555
0,90;215556
0,12;215557
1,00;215558
0,62;215559
1,00;215560
1,00;215561
1,00;215562
1,00;215563
1,00;215564
0,97;215565
0,12;215566
0,90;215567
1,00;215568
0,97;215569
1,00;215570
0,62;215571
1,00;215572
1,00;215573
1,00;215574
0,90;215575
1,00;215576
0,97;215577
0,90;215578
0,90;215579
1,00;215580
0,12;215581
0,97;215582
0,90;215583
0,90;215584
1,00;215585
1,00;215586
1,00;215587
0,90;215588
0,62;215589
1,00;215590
0,90;215591
1,00;215592
1,00;215593
0,62;215594
0,90;215595
0,90;215596
0,62;215597
1,00;215598
0,90;215599
1,00;215600
1,00;215601
1,00;215602
0,90;215603
0,90;215604
0,12;215605
0,90;215606
1,00;215607
1,00;215608
1,00;215609
0,62;215610
1,00;215611
0,12;215612
1,00;215613
0,62;215614
0,90;215615
0,62;215616
0,97;215617
0,62;215618
0,70;215619
1,00;215620
1,00;215621
0,90;215622
0,97;215623
0,97;215624
0,62;215625
0,90;215626
0,62;215627
0,62;215628
0,97;215629
1,00;215630
0,62;215631
1,00;215632
0,70;215633
1,00;215634
1,00;215635
0,90;215636
0,90;215637
1,00;215638
1,00;215639
0,90;215640
1,00;215641
1,00;215642
1,00;215643
1,00;215644
0,62;215645
0,90;215646
0,90;215647
0,90;215648
0,62;215649
0,90;215650
0,90;215651
0,90;215652
0,70;215653
1,00;215654
0,90;215655
0,90;215656
0,90;215657
0,90;215658
0,90;215659
0,97;215660
0,90;215661
0,90;215662
0,90;215663
1,00;215664
0,90;215665
0,90;215666
1,00;215667
1,00;215668
0,62;215669
0,62;215670
1,00;215671
1,00;215672
0,90;215673
0,90;215674
0,12;215675
0,12;215676
0,12;215677
0,12;215678
0,12;215679
0,70;215680
0,12;215681
0,70;215682
0,70;215683
0,03;215684
0,26;215685
0,83;215686
0,12;215687
1,00;215688
0,67;215689
0,70;215690
1,00;215691
1,00;215692
0,25;215693
1,00;215694
1,00;215695
1,00;215696
1,00;215697
0,90;215698
0,33;215699
1,00;215700
0,90;215701
0,90;215702
0,90;215703
1,00;215704
1,00;215705
0,97;215706
1,00;215707
1,00;215708
0,62;215709
0,97;215710
1,00;215711
1,00;215712
0,70;215713
0,90;215714
1,00;215715
0,12;215716
0,62;215717
0,90;215718
1,00;215719
1,00;215720
0,90;215721
1,00;215722
1,00;215723
0,90;215724
0,97;215725
0,90;215726
0,97;215727
